REP,DOC,PLAN_CALLS
AIJA-201VQD,AEGA-579W31,2
AEGA-8OKA3V,AEGA-73HXS4,3
AEGA-8OM3JB,AEGA-579US1,3
AIJA-GO6K8T,AEGA-579DB1,1
AEGA-8OM3JB,AEGA-579STQ,9
AIJA-GO6K8T,AEGA-57E6MY,9
AEGA-8OKA3V,AEGA-57AVTZ,8
AIJA-H30A51,AEGA-579395,2
AIJA-GO6K8T,AEGA-57CM5Z,12
AEGA-56WEHD,AEGA-78AJ65,5
AIJA-GO6K8T,AEGA-57D25H,9
AEGA-56WEHD,AEGA-57C1QJ,4
AEGA-8OM3JB,AIJA-FM7JS,3
AEGA-6N7PT5,AEGA-57D3KM,6
AIJA-H30A51,AEGA-57BMZ7,2
AIJA-GLRI1,AEGA-579235,2
AIJA-201VQD,AEGA-5ET0CK,2
AIJA-NGZHCO,AEGA-57AVRR,3
AEGA-56WEHD,AEGA-57D7KR,8
AIJA-GO6K8T,AEGA-57AP0G,9
AIJA-201VQD,AIJA-CQSQS6,2
AEGA-56WEHN,AIJA-LVPHI,2
AIJA-H30A51,AEGA-8E7ZJS,2
AIJA-H30A51,AEGA-57DUOP,1
AIJA-GO6K8T,AEGA-57C4QU,3
AIJA-201VQD,AEGA-71VL8X,2
AIJA-201VQD,AEGA-57EABD,2
AIJA-201VQD,AEGA-573S5H,4
AEGA-6N7PT5,AEGA-579CQG,3
AIJA-201VQD,AEGA-5747PF,4
AIJA-201VQD,AEGA-57E86Z,2
AEGA-8OKA3V,AEGA-57DWDH,10
AIJA-201VQD,AEGA-57AABJ,12
AEGA-56WEHN,AEGA-57CTFG,6
AEGA-8OM3JB,AEGA-579D87,3
AIJA-GO6K8T,AEGA-57C6B4,9
AIJA-GO6K8T,AEGA-57AHBD,1
AEGA-56WEHN,AEGA-57E4ZJ,2
AIJA-H30A51,AEGA-57BR58,2
AIJA-NGZHDP,AEGA-57D95S,1
AIJA-GO6K8T,AEGA-57A5XU,3
AIJA-GO6K8T,AEGA-579YGC,3
AEGA-56WEHN,AEGA-579URL,9
AEGA-8OKA3V,AEGA-5799B3,3
AIJA-GO6K8T,AEGA-57CP4R,3
AIJA-NGZHCO,AEGA-579UVI,2
AIJA-GO6K8T,AEGA-579ECX,3
AEGA-56WEHD,AIJA-FS894,10
AIJA-NGZHCO,AEGA-57AHAN,4
AEGA-8OM3JB,AEGA-579SU1,3
AIJA-GO6K8T,AEGA-57BR76,2
AEGA-56WEHN,AEGA-57A0TF,6
AIJA-GO6K8T,AEGA-5791EX,6
AIJA-H30A51,AEGA-579XRX,2
AIJA-H30A51,AEGA-57CIYR,1
AIJA-NGZHCO,AEGA-579UKP,1
AIJA-201VQD,AEGA-5741EK,3
AEGA-8OM3JB,AEGA-57A3BG,2
AIJA-201VQD,AEGA-579V57,6
AIJA-H30A51,AEGA-57ALY7,2
AEGA-56WEHN,AEGA-57AVU4,6
AIJA-GO6K8T,AEGA-57AFPM,9
AIJA-201VQD,AEGA-5745LJ,4
AEGA-6N7PT5,AEGA-579DPR,6
AEGA-56WEHN,AEGA-57CJ8W,4
AEGA-8OM3JB,AEGA-57AT4T,4
AIJA-GO6K8T,AEGA-579PYZ,3
AEGA-6N7PT5,AEGA-57CQRT,3
AIJA-H30A51,AEGA-57DUNV,2
AEGA-6N7PT5,AEGA-57DWDR,3
AIJA-201VQD,AIJA-APTPCI,6
AEGA-8OM3JB,AEGA-57D1XW,6
AEGA-56WEHN,AEGA-5793DA,2
AIJA-201VQD,AEGA-577FFC,2
AEGA-8OKA3V,AEGA-579SPK,3
AEGA-56WEHD,AEGA-57AP75,10
AIJA-201VQD,AEGA-57D64Q,12
AIJA-GO6K8T,AEGA-57C82X,3
AIJA-201VQD,AEGA-7I7AVJ,2
AIJA-GLRI1,AEGA-57CQ1M,3
AIJA-GO6K8T,AEGA-57C6QQ,6
AIJA-GLRI1,AEGA-57A1ZD,3
AIJA-GO6K8T,AEGA-579UHQ,6
AIJA-GO6K8T,AEGA-57CNOH,6
AEGA-8OM3JB,AEGA-57A18Y,1
AIJA-201VQD,AEGA-57CNW9,6
AIJA-201VQD,AEGA-573YOS,3
AIJA-201VQD,AEGA-574NIT,4
AIJA-GO6K8T,AEGA-57E84R,3
AIJA-NGZHDP,AEGA-5793JB,3
AIJA-201VQD,AIJA-K8BB1O,2
AEGA-56WEHN,AEGA-579AVK,6
AIJA-H30A51,AEGA-579EED,3
AEGA-8OKA3V,AEGA-5796GY,1
AIJA-201VQD,AEGA-577FEC,3
AIJA-NGZHDP,AEGA-57D37G,4
AIJA-NGZHCO,AEGA-57CBCV,4
AIJA-GO6K8T,AEGA-579UET,3
AEGA-8OKA3V,AEGA-57BMNP,5
AEGA-56WEHD,AEGA-579UQT,4
AIJA-GO6K8T,AEGA-57AVSB,9
AEGA-8OM3JB,AEGA-579Z9P,1
AEGA-6N7PT5,AEGA-57D0OW,6
AIJA-H30A51,AEGA-579R8G,1
AIJA-201VQD,AEGA-7LUVOV,9
AEGA-56WEHN,AEGA-579B0G,2
AIJA-201VQD,AEGA-573WVQ,2
AEGA-8OM3JB,AEGA-57CLVF,3
AIJA-H30A51,AIJA-1AOH03,2
AEGA-6N7PT5,AEGA-57CHO7,6
AIJA-GO6K8T,AEGA-57E0H0,3
AIJA-201VQD,AEGA-5740RW,4
AIJA-201VQD,AEGA-57A62I,2
AEGA-6N7PT5,AEGA-57CHLT,3
AIJA-H30A51,AEGA-57C9O6,2
AIJA-GO6K8T,AEGA-6U4BA1,3
AIJA-GO6K8T,AEGA-579UV3,4
AIJA-GLRI1,AEGA-579BQ6,3
AIJA-NGZH79,AEGA-57CX4S,9
AIJA-201VQD,AEGA-575RXN,4
AIJA-H30A51,AEGA-57AVRH,2
AIJA-H30A51,AIJA-16UTLE,2
AEGA-8OKA3V,AEGA-5793HM,3
AEGA-56WEHD,AEGA-57BNC0,8
AIJA-H30A51,AEGA-579YIT,1
AEGA-8OKA3V,AEGA-57936Z,4
AEGA-8OKA3V,AEGA-579U9J,4
AEGA-56WEHN,AEGA-57B12F,12
AEGA-8OKA3V,AIJA-NQV0S,3
AEGA-8OM3JB,AEGA-57CP44,6
AIJA-201VQD,AEGA-575W4G,4
AEGA-56WEHN,AEGA-57B2AA,6
AIJA-201VQD,AEGA-57D2DY,9
AIJA-201VQD,AEGA-57CQMH,9
AIJA-H30A51,AEGA-57CKD7,1
AIJA-201VQD,AEGA-574XXT,2
AIJA-NGZHCO,AEGA-57C0FO,6
AIJA-GO6K8T,AEGA-579KSH,6
AEGA-8OM3JB,AEGA-57DTCM,3
AEGA-8OKA3V,AEGA-579XO2,1
AIJA-H30A51,AEGA-579QXV,2
AEGA-56WEHD,AEGA-57ALYC,4
AEGA-8OM3JB,AEGA-57C7T2,3
AEGA-8OM3JB,AEGA-57EANL,3
AIJA-GO6K8T,AEGA-5799CR,2
AIJA-201VQD,AIJA-MU2AV,6
AIJA-GLRI1,AEGA-57A6Y8,3
AIJA-201VQD,AEGA-573HSI,5
AEGA-8OKA3V,AEGA-5793KL,5
AIJA-GO6K8T,AEGA-579PYG,9
AIJA-GO6K8T,AEGA-579XG9,3
AIJA-H30A51,AEGA-73HZKI,2
AIJA-201VQD,AEGA-703W7U,2
AEGA-56WEHN,AEGA-579XFD,9
AEGA-56WEHD,AEGA-57APX9,1
AEGA-56WEHN,AEGA-57B12K,3
AIJA-H30A51,AEGA-579JXW,2
AEGA-56WEHN,AEGA-57BM53,2
AEGA-8OKA3V,AEGA-5793AA,3
AEGA-56WEHD,AEGA-579235,2
AIJA-NGZHCO,AEGA-57D2U3,3
AIJA-201VQD,AEGA-574I86,2
AIJA-GO6K8T,AIJA-1WO07T,3
AIJA-NGZHDP,AEGA-57CIY4,1
AIJA-201VQD,AEGA-57AOV7,6
AEGA-56WEHN,AEGA-57BQ0Y,3
AIJA-GO6K8T,AIJA-6YEEBC,1
AIJA-201VQD,AEGA-57ALZ7,3
AEGA-8OKA3V,AEGA-579B4H,4
AEGA-56WEHD,AEGA-57AE8G,8
AIJA-201VQD,AEGA-577HUU,2
AIJA-H30A51,AEGA-579QY5,1
AIJA-NGZHDP,AEGA-57C0J6,3
AIJA-201VQD,AEGA-574NZ9,3
AEGA-8OKA3V,AEGA-57DWEG,5
AEGA-8OM3JB,AIJA-9JPFTE,3
AIJA-201VQD,AEGA-574I77,2
AEGA-56WEHD,AEGA-57BMNP,2
AEGA-56WEHN,AEGA-57E9A2,2
AIJA-GO6K8T,AEGA-57BOUC,1
AEGA-6N7PT5,AEGA-57E3IM,9
AIJA-GO6K8T,AEGA-57CXIX,6
AEGA-56WEHD,AEGA-57937L,4
AEGA-6N7PT5,AEGA-579M4S,2
AIJA-201VQD,AEGA-573RFE,5
AEGA-56WEHD,AEGA-57CFXS,4
AEGA-56WEHN,AEGA-5793UP,3
AIJA-NGZHDP,AEGA-57D3BB,4
AEGA-8OKA3V,AEGA-579R86,3
AEGA-8OM3JB,AEGA-57E3IH,2
AEGA-6N7PT5,AEGA-5797QL,3
AEGA-8OM3JB,AEGA-57A1HS,9
AIJA-201VQD,AEGA-574NYP,3
AIJA-GLRI1,AEGA-57A4PM,3
AIJA-NGZHCO,AEGA-57CAX5,2
AEGA-6N7PT5,AEGA-579DOT,12
AEGA-56WEHN,AEGA-57CH89,9
AIJA-201VQD,AEGA-579BWL,2
AIJA-GLRI1,AEGA-57AXD8,3
AIJA-NGZHCO,AEGA-57C99N,3
AEGA-6N7PT5,AEGA-57AOUD,9
AIJA-NGZHCO,AEGA-57CNAK,2
AIJA-201VQD,AEGA-579IDW,2
AIJA-NGZHDP,AEGA-57AJUC,1
AIJA-201VQD,AEGA-579P2W,9
AIJA-GLRI1,AEGA-57AVTP,3
AIJA-GO6K8T,AEGA-57BR0G,1
AEGA-8OKA3V,AEGA-579B4M,5
AEGA-8OM3JB,AEGA-579DBV,6
AIJA-GO6K8T,AEGA-57E9E5,12
AIJA-NGZHCO,AEGA-57D67Z,1
AEGA-56WEHN,AEGA-73HZKI,2
AEGA-8OKA3V,AEGA-6EH17U,5
AIJA-H30A51,AEGA-57AT7Q,1
AIJA-201VQD,AEGA-57C3O7,2
AEGA-8OM3JB,AEGA-57AMF7,9
AEGA-6N7PT5,AEGA-579QZV,2
AIJA-NGZHCO,AIJA-1BMRUY,2
AIJA-H30A51,AEGA-57CZ5E,4
AEGA-8OM3JB,AEGA-579U8Z,3
AEGA-8OKA3V,AEGA-579VTA,8
AIJA-H30A51,AEGA-57A258,2
AEGA-6N7PT5,AEGA-57CKCT,3
AIJA-NGZHCO,AEGA-57A60T,2
AIJA-GO6K8T,AEGA-579KTK,3
AEGA-8OM3JB,AEGA-5799MD,9
